Name,InsX,InsY,Xmin,Ymin,Xmax,Ymax,Width,Height,Rotation
Z_REWORK,0.0000,0.0000,1331.6461,578.0629,2081.6461,1278.0629,750.0000,700.0000,0.0000
BoB_KAPPA02,0.0000,0.0000,4652.0798,2586.0629,4822.0798,2886.0629,170.0000,300.0000,0.0000
KAPPA02,0.0000,0.0000,4692.0798,1818.0629,4822.0798,2586.0629,130.0000,768.0000,0.0000
BoB_P57,0.0000,0.0000,4417.0329,2733.4963,4587.0329,2883.4963,170.0000,150.0000,0.0000
P57,0.0000,0.0000,4407.0329,1753.4963,4587.0329,2733.4963,180.0000,980.0000,0.0000
Z_FREE,0.0000,0.0000,0.0798,1726.0629,1043.0798,2922.5629,1043.0000,1196.5000,0.0000
BOX_9,0.0000,0.0000,1603.0798,2329.0629,1733.0798,2886.0629,130.0000,557.0000,0.0000
BOX_8,0.0000,0.0000,1808.0798,2329.0629,1938.0798,2886.0629,130.0000,557.0000,0.0000
BOX_7,0.0000,0.0000,2013.0798,2329.0629,2143.0798,2886.0629,130.0000,557.0000,0.0000
BOX_6,0.0000,0.0000,2218.0798,2329.0629,2348.0798,2886.0629,130.0000,557.0000,0.0000
BOX_5,0.0000,0.0000,2423.0798,2329.0629,2553.0798,2886.0629,130.0000,557.0000,0.0000
BOX_4,0.0000,0.0000,2628.0798,2329.0629,2758.0798,2886.0629,130.0000,557.0000,0.0000
BOX_3,0.0000,0.0000,2833.0798,2329.0629,2963.0798,2886.0629,130.0000,557.0000,0.0000
BOX_2,0.0000,0.0000,3038.0798,2329.0629,3168.0798,2886.0629,130.0000,557.0000,0.0000
BOX_1,0.0000,0.0000,3243.0798,2329.0629,3373.0798,2886.0629,130.0000,557.0000,0.0000
Z_CuttingTubes,0.0000,0.0000,1163.0798,1726.0629,3373.0798,2886.0629,2210.0000,1160.0000,0.0000
BOX_10,0.0000,0.0000,1348.5689,1726.0629,1478.5689,1866.0629,130.0000,140.0000,0.0000
BOX_04,0.0000,0.0000,1545.2761,1726.0629,1675.2761,1866.0629,130.0000,140.0000,0.0000
BOX_05,0.0000,0.0000,1725.2761,1726.0629,1855.2761,1866.0629,130.0000,140.0000,0.0000
BOX_12,0.0000,0.0000,1905.2761,1726.0629,2035.2761,1866.0629,130.0000,140.0000,0.0000
BOX_08,0.0000,0.0000,2085.2761,1726.0629,2215.2761,1866.0629,130.0000,140.0000,0.0000
BOX_07,0.0000,0.0000,2265.2761,1726.0629,2395.2761,1866.0629,130.0000,140.0000,0.0000
BOX_11,0.0000,0.0000,2445.2761,1726.0629,2575.2761,1866.0629,130.0000,140.0000,0.0000
BOX_06,0.0000,0.0000,2625.2761,1726.0629,2755.2761,1866.0629,130.0000,140.0000,0.0000
BOX_02,0.0000,0.0000,2908.0798,1726.0629,3018.0798,1826.0629,110.0000,100.0000,0.0000
BOX_01,0.0000,0.0000,3058.0798,1726.0629,3168.0798,1826.0629,110.0000,100.0000,0.0000
PC_cuttingtubes,0.0000,0.0000,3243.0798,1776.4395,3296.0798,2267.3345,53.0000,490.8950,0.0000
Dereeling_tbl10,0.0000,0.0000,1588.6463,1880.3976,1682.6463,1974.3976,94.0000,94.0000,0.0000
Dereeling_tbl04,0.0000,0.0000,1758.2328,1923.8233,1852.2328,2017.8233,94.0000,94.0000,0.0000
Dereeling_tbl05,0.0000,0.0000,1924.4152,1926.7185,2018.4152,2020.7185,94.0000,94.0000,0.0000
Dereeling_tbl12,0.0000,0.0000,2052.4211,1906.8563,2167.4211,2021.8563,115.0000,115.0000,0.0000
Dereeling_tbl08,0.0000,0.0000,2252.4010,1882.1610,2387.4010,2017.1610,135.0000,135.0000,0.0000
Dereeling_tbl11,0.0000,0.0000,2496.0050,1933.0420,2576.0050,2013.0420,80.0000,80.0000,0.0000
Dereeling_tbl06,0.0000,0.0000,2619.2285,1910.3674,2754.2285,2045.3674,135.0000,135.0000,0.0000
BOXDEL,0.0000,0.0000,1163.0798,1726.0629,1275.0798,2576.0629,112.0000,850.0000,0.0000
BOX,0.0000,0.0000,1348.5689,1946.0629,1478.5689,2886.0629,130.0000,940.0000,0.0000
METZNER_10,0.0000,0.0000,1603.0798,2045.0629,1703.0798,2259.0629,100.0000,214.0000,0.0000
SM30_04,0.0000,0.0000,1773.0798,2079.0629,1853.0798,2259.0629,80.0000,180.0000,0.0000
METZNER_05,0.0000,0.0000,1923.0798,2044.0629,2016.5798,2259.0629,93.5000,215.0000,0.0000
SM15_12,0.0000,0.0000,2086.5798,2045.0629,2161.5798,2259.0629,75.0000,214.0000,0.0000
SM15_08,0.0000,0.0000,2231.5798,2045.0629,2306.5798,2259.0629,75.0000,214.0000,0.0000
SM15_07,0.0000,0.0000,2376.5798,2054.0629,2451.5798,2259.6234,75.0000,205.5604,0.0000
SM15_11,0.0000,0.0000,2521.5798,2064.0629,2596.5798,2262.3941,75.0000,198.3312,0.0000
SM15_06,0.0000,0.0000,2666.5798,2059.0629,2749.5798,2259.0629,83.0000,200.0000,0.0000
HSGM_02,0.0000,0.0000,2878.6315,1840.0014,2982.6315,2260.0014,104.0000,420.0000,0.0000
HSGM_01,0.0000,0.0000,3064.0798,1840.0014,3168.0798,2260.0014,104.0000,420.0000,0.0000
mangera,0.0000,0.0000,3924.4647,2061.9034,4058.4647,2135.9034,134.0000,74.0000,0.0000
Bubble_Test,0.0000,0.0000,3837.0097,2061.9034,3956.8112,2116.9034,119.8015,55.0000,0.0000
WORKMAN_A,0.0000,0.0000,2967.4328,585.0629,3092.4328,655.0629,125.0000,70.0000,0.0000
BoB+KAPPA01,0.0000,0.0000,4962.0798,1458.0629,5092.0798,2586.0629,130.0000,1128.0000,0.0000
P16-B+Ref,0.0000,0.0000,3848.0798,2736.0629,4094.0798,2886.0629,246.0000,150.0000,0.0000
P16+Ref,0.0000,0.0000,3848.0798,2586.0629,4095.5343,2736.0629,247.4545,150.0000,0.0000
P17+Ref,0.0000,0.0000,3848.0798,2436.0629,4096.9888,2586.0629,248.9090,150.0000,0.0000
