Name,InsX,InsY,Xmin,Ymin,Xmax,Ymax,Width,Height,Rotation
Z_REWORK,0.0000,0.0000,1347.7816,608.8415,2097.7816,1308.8415,750.0000,700.0000,0.0000
BoB_KAPPA02,0.0000,0.0000,4668.2153,2616.8415,4838.2153,2916.8415,170.0000,300.0000,0.0000
KAPPA02,0.0000,0.0000,4708.2153,1848.8415,4838.2153,2616.8415,130.0000,768.0000,0.0000
BoB_P57,0.0000,0.0000,4433.1683,2764.2749,4603.1683,2914.2749,170.0000,150.0000,0.0000
P57,0.0000,0.0000,4423.1683,1784.2749,4603.1683,2764.2749,180.0000,980.0000,0.0000
Dereeling_tbl10,0.0000,0.0000,16.2153,1756.8415,161.2153,1901.8415,145.0000,145.0000,0.0000
Dereeling_tbl04,0.0000,0.0000,221.2153,1756.8415,366.2153,1901.8415,145.0000,145.0000,0.0000
Dereeling_tbl05,0.0000,0.0000,426.2153,1756.8415,571.2153,1901.8415,145.0000,145.0000,0.0000
Dereeling_tbl12,0.0000,0.0000,631.2153,1756.8415,776.2153,1901.8415,145.0000,145.0000,0.0000
Dereeling_tbl08,0.0000,0.0000,836.2153,1756.8415,981.2153,1901.8415,145.0000,145.0000,0.0000
BOX_07,0.0000,0.0000,991.7911,1756.8415,1121.7911,1896.8415,130.0000,140.0000,0.0000
Dereeling_tb11,0.0000,0.0000,1142.1231,1756.8415,1287.1231,1901.8415,145.0000,145.0000,0.0000
Dereeling_tbl06,0.0000,0.0000,1347.1231,1756.8415,1492.1231,1901.8415,145.0000,145.0000,0.0000
Z_CuttingTubes,0.0000,0.0000,16.2153,1756.8415,2007.7990,2953.3415,1991.5837,1196.5000,0.0000
BOX_9,0.0000,0.0000,237.7990,2396.3415,367.7990,2953.3415,130.0000,557.0000,0.0000
BOX_8,0.0000,0.0000,442.7990,2396.3415,572.7990,2953.3415,130.0000,557.0000,0.0000
BOX_7,0.0000,0.0000,647.7990,2396.3415,777.7990,2953.3415,130.0000,557.0000,0.0000
BOX_6,0.0000,0.0000,852.7990,2396.3415,982.7990,2953.3415,130.0000,557.0000,0.0000
BOX_5,0.0000,0.0000,1057.7990,2396.3415,1187.7990,2953.3415,130.0000,557.0000,0.0000
BOX_4,0.0000,0.0000,1262.7990,2396.3415,1392.7990,2953.3415,130.0000,557.0000,0.0000
BOX_3,0.0000,0.0000,1467.7990,2396.3415,1597.7990,2953.3415,130.0000,557.0000,0.0000
BOX_2,0.0000,0.0000,1672.7990,2396.3415,1802.7990,2953.3415,130.0000,557.0000,0.0000
BOX_1,0.0000,0.0000,1877.7990,2396.3415,2007.7990,2953.3415,130.0000,557.0000,0.0000
BOX_02,0.0000,0.0000,1542.7990,1793.3415,1652.7990,1893.3415,110.0000,100.0000,0.0000
BOX_01,0.0000,0.0000,1692.7990,1793.3415,1802.7990,1893.3415,110.0000,100.0000,0.0000
PC_cuttingtubes,0.0000,0.0000,1877.7990,1843.7181,1930.7990,2334.6131,53.0000,490.8950,0.0000
BOX,0.0000,0.0000,16.2153,2013.3415,146.2153,2953.3415,130.0000,940.0000,0.0000
METZNER_10,0.0000,0.0000,237.7990,2112.3415,337.7990,2326.3415,100.0000,214.0000,0.0000
SM30_04,0.0000,0.0000,407.7990,2146.3415,487.7990,2326.3415,80.0000,180.0000,0.0000
METZNER_05,0.0000,0.0000,557.7990,2111.3415,651.2990,2326.3415,93.5000,215.0000,0.0000
SM15_12,0.0000,0.0000,721.2990,2112.3415,796.2990,2326.3415,75.0000,214.0000,0.0000
SM15_08,0.0000,0.0000,866.2990,2112.3415,941.2990,2326.3415,75.0000,214.0000,0.0000
SM15_07,0.0000,0.0000,1011.2990,2121.3415,1086.2990,2326.9020,75.0000,205.5604,0.0000
SM15_11,0.0000,0.0000,1156.2990,2131.3415,1231.2990,2329.6727,75.0000,198.3312,0.0000
SM15_06,0.0000,0.0000,1301.2990,2126.3415,1384.2990,2326.3415,83.0000,200.0000,0.0000
HSGM_02,0.0000,0.0000,1513.3507,1907.2800,1617.3507,2327.2800,104.0000,420.0000,0.0000
HSGM_01,0.0000,0.0000,1698.7990,1907.2800,1802.7990,2327.2800,104.0000,420.0000,0.0000
mangera,0.0000,0.0000,3940.6001,2092.6820,4074.6001,2166.6820,134.0000,74.0000,0.0000
Bubble_Test,0.0000,0.0000,3853.1451,2092.6820,3972.9466,2147.6820,119.8015,55.0000,0.0000
WORKMAN_A,0.0000,0.0000,2983.5682,615.8415,3108.5682,685.8415,125.0000,70.0000,0.0000
Z_FREE,0.0000,0.0000,2137.7990,1756.8415,3389.2153,2953.3415,1251.4163,1196.5000,0.0000
BoB+KAPPA01,0.0000,0.0000,4978.2153,1488.8415,5108.2153,2616.8415,130.0000,1128.0000,0.0000
BoB_KAPPA01,0.0000,0.0000,4938.2153,2616.8415,5108.2153,2916.8415,170.0000,300.0000,0.0000
SMED02_P75,0.0000,0.0000,4603.1683,2274.2749,4673.1683,2320.2749,70.0000,46.0000,0.0000
SMED_P57,0.0000,0.0000,4353.1683,1947.3288,4423.1683,1993.3288,70.0000,46.0000,0.0000
P16-B+Ref,0.0000,0.0000,2626.9953,1765.0015,2872.9953,1915.0015,246.0000,150.0000,0.0000
P16+Ref,0.0000,0.0000,2626.2753,1925.0015,2873.7298,2075.0015,247.4545,150.0000,0.0000
