Name,InsX,InsY,Xmin,Ymin,Xmax,Ymax,Width,Height,Rotation
Z_REWORK,0.0000,0.0000,1331.5670,578.0005,2081.5670,1278.0005,750.0000,700.0000,0.0000
BoB_P57,0.0000,0.0000,3223.0007,624.0005,3373.0007,794.0005,150.0000,170.0000,270.0000
P57,0.0000,0.0000,2243.0007,624.0005,3223.0007,804.0005,980.0000,180.0000,270.0000
Z_A,0.0000,0.0000,2081.5670,578.0005,3373.0007,1278.0005,1291.4337,700.0000,0.0000
Dereeling_tbl10,0.0000,0.0000,0.0007,1726.0005,145.0007,1871.0005,145.0000,145.0000,0.0000
Dereeling_tbl04,0.0000,0.0000,205.0007,1726.0005,350.0007,1871.0005,145.0000,145.0000,0.0000
Dereeling_tbl05,0.0000,0.0000,410.0007,1726.0005,555.0007,1871.0005,145.0000,145.0000,0.0000
Dereeling_tbl12,0.0000,0.0000,615.0007,1726.0005,760.0007,1871.0005,145.0000,145.0000,0.0000
Dereeling_tbl08,0.0000,0.0000,820.0007,1726.0005,965.0007,1871.0005,145.0000,145.0000,0.0000
BOX_07,0.0000,0.0000,975.5766,1726.0005,1105.5766,1866.0005,130.0000,140.0000,0.0000
Dereeling_tb11,0.0000,0.0000,1125.9085,1726.0005,1270.9085,1871.0005,145.0000,145.0000,0.0000
Dereeling_tbl06,0.0000,0.0000,1330.9085,1726.0005,1475.9085,1871.0005,145.0000,145.0000,0.0000
Z_CuttingTubes,0.0000,0.0000,0.0007,1726.0005,1991.5844,2922.5005,1991.5837,1196.5000,0.0000
BOX_9,0.0000,0.0000,221.5844,2365.5005,351.5844,2922.5005,130.0000,557.0000,0.0000
BOX_8,0.0000,0.0000,426.5844,2365.5005,556.5844,2922.5005,130.0000,557.0000,0.0000
BOX_7,0.0000,0.0000,631.5844,2365.5005,761.5844,2922.5005,130.0000,557.0000,0.0000
BOX_6,0.0000,0.0000,836.5844,2365.5005,966.5844,2922.5005,130.0000,557.0000,0.0000
BOX_5,0.0000,0.0000,1041.5844,2365.5005,1171.5844,2922.5005,130.0000,557.0000,0.0000
BOX_4,0.0000,0.0000,1246.5844,2365.5005,1376.5844,2922.5005,130.0000,557.0000,0.0000
BOX_3,0.0000,0.0000,1451.5844,2365.5005,1581.5844,2922.5005,130.0000,557.0000,0.0000
BOX_2,0.0000,0.0000,1656.5844,2365.5005,1786.5844,2922.5005,130.0000,557.0000,0.0000
BOX_1,0.0000,0.0000,1861.5844,2365.5005,1991.5844,2922.5005,130.0000,557.0000,0.0000
BOX_02,0.0000,0.0000,1526.5844,1762.5005,1636.5844,1862.5005,110.0000,100.0000,0.0000
BOX_01,0.0000,0.0000,1676.5844,1762.5005,1786.5844,1862.5005,110.0000,100.0000,0.0000
PC_cuttingtubes,0.0000,0.0000,1861.5844,1812.8770,1914.5844,2303.7720,53.0000,490.8950,0.0000
BOX,0.0000,0.0000,0.0007,1982.5005,130.0007,2922.5005,130.0000,940.0000,0.0000
METZNER_10,0.0000,0.0000,221.5844,2081.5005,321.5844,2295.5005,100.0000,214.0000,0.0000
SM30_04,0.0000,0.0000,391.5844,2115.5005,471.5844,2295.5005,80.0000,180.0000,0.0000
METZNER_05,0.0000,0.0000,541.5844,2080.5005,635.0844,2295.5005,93.5000,215.0000,0.0000
SM15_12,0.0000,0.0000,705.0844,2081.5005,780.0844,2295.5005,75.0000,214.0000,0.0000
SM15_08,0.0000,0.0000,850.0844,2081.5005,925.0844,2295.5005,75.0000,214.0000,0.0000
SM15_07,0.0000,0.0000,995.0844,2090.5005,1070.0844,2296.0609,75.0000,205.5604,0.0000
SM15_11,0.0000,0.0000,1140.0844,2100.5005,1215.0844,2298.8317,75.0000,198.3312,0.0000
SM15_06,0.0000,0.0000,1285.0844,2095.5005,1368.0844,2295.5005,83.0000,200.0000,0.0000
HSGM_02,0.0000,0.0000,1497.1361,1876.4389,1601.1361,2296.4389,104.0000,420.0000,0.0000
HSGM_01,0.0000,0.0000,1682.5844,1876.4389,1786.5844,2296.4389,104.0000,420.0000,0.0000
pagoda,0.0000,0.0000,2081.5670,808.0005,2151.5670,1278.0005,70.0000,470.0000,0.0000
BoB+KAPPA01,0.0000,0.0000,2245.0007,913.0005,3373.0007,1043.0005,1128.0000,130.0000,270.0000
SMED02_P75,0.0000,0.0000,2709.0007,578.0005,2779.0007,624.0005,70.0000,46.0000,180.0000
SMED_P57,0.0000,0.0000,2452.0547,804.0005,2522.0547,850.0005,70.0000,46.0000,180.0000
BoB_KAPPA01,0.0000,0.0000,2573.7966,1108.0005,2873.7966,1278.0005,300.0000,170.0000,270.0000
PC_B,0.0000,0.0000,2149.2570,578.0005,2228.8570,628.0005,79.6000,50.0000,90.0000
mangera,0.0000,0.0000,2428.0007,2848.5005,2562.0007,2922.5005,134.0000,74.0000,0.0000
Bubble_Test,0.0000,0.0000,2340.5458,2848.5005,2460.3472,2903.5005,119.8015,55.0000,0.0000
WORKMAN_A,0.0000,0.0000,3303.0007,2379.3337,3373.0007,2504.3337,70.0000,125.0000,270.0000
Z_FREE,0.0000,0.0000,2121.5844,1726.0005,3373.0007,2922.5005,1251.4163,1196.5000,0.0000
P16-B+Ref,0.0000,0.0000,2632.0007,1726.0005,2878.0007,1876.0005,246.0000,150.0000,0.0000
P16+Ref,0.0000,0.0000,2632.0152,1876.0005,2879.4697,2026.0005,247.4545,150.0000,0.0000
P17+Ref,0.0000,0.0000,2631.2852,2026.0005,2880.1942,2176.0005,248.9090,150.0000,0.0000
P18+Ref,0.0000,0.0000,2630.5552,2176.0005,2880.9187,2326.0005,250.3635,150.0000,0.0000
P19+Ref,0.0000,0.0000,2629.1007,2326.0005,2880.9187,2476.0005,251.8180,150.0000,0.0000
poutre,0.0000,0.0000,2889.7663,1087.9132,2984.9409,1183.0878,95.1746,95.1746,0.0000
P34,0.0000,0.0000,3228.0007,1951.0005,3373.0007,2109.0005,145.0000,158.0000,0.0000
P10,0.0000,0.0000,2121.5844,2141.0005,2279.5844,2286.0005,158.0000,145.0000,0.0000
P08,0.0000,0.0000,2121.5844,1926.0005,2291.5844,2071.0005,170.0000,145.0000,0.0000
P07,0.0000,0.0000,2958.0007,2777.5005,3138.0007,2922.5005,180.0000,145.0000,0.0000
P35,0.0000,0.0000,3215.0007,1726.0005,3373.0007,1881.0005,158.0000,155.0000,0.0000
