Name,Family,OldCX,OldCY,NewCX,NewCY,DeltaX,DeltaY,Width,Height,Rotation,Zone,InZA,InZFree,InZB
mangera,IGNORE,4007.6,2129.68,4007.6,2129.68,0.0,0.0,134.0,74.0,0.0,Z_B,no,no,YES
Bubble_Test,IGNORE,3913.05,2120.18,3913.05,2120.18,0.0,0.0,119.8,55.0,0.0,Z_B,no,no,YES
WORKMAN_A,IGNORE,3046.07,650.84,3046.07,650.84,0.0,0.0,125.0,70.0,0.0,Z_A,YES,no,no
Z_FREE,IGNORE,2763.51,2355.09,2763.51,2355.09,0.0,0.0,1251.42,1196.5,0.0,Z_FREE,no,YES,no
BoB+KAPPA01,IGNORE,5043.22,2052.84,5043.22,2052.84,0.0,0.0,130.0,1128.0,0.0,Z_B,no,no,YES
BoB_KAPPA01,IGNORE,5023.22,2766.84,5023.22,2766.84,0.0,0.0,170.0,300.0,0.0,Z_B,no,no,YES
ToTaL_P57,IGNORE,4513.17,2349.27,4513.17,2349.27,0.0,0.0,180.0,1130.0,0.0,Z_B,no,no,YES
SMED02_P75,IGNORE,4638.17,2297.27,4638.17,2297.27,0.0,0.0,70.0,46.0,0.0,Z_B,no,no,YES
SMED_P57,IGNORE,4388.17,1970.33,4388.17,1970.33,0.0,0.0,70.0,46.0,0.0,Z_B,no,no,YES
P16-B+Ref,ELOPAR,3987.22,2841.84,2750.0,1840.0,-1237.22,-1001.84,246.0,150.0,0.0,Z_FREE,no,YES,no
P16+Ref,ELOPAR,3987.94,2691.84,2750.0,2000.0,-1237.94,-691.84,247.45,150.0,0.0,Z_FREE,no,YES,no
P17+Ref,ELOPAR,3988.67,2541.84,2750.0,2160.0,-1238.67,-381.84,248.91,150.0,0.0,Z_FREE,no,YES,no
P18+Ref,ELOPAR,3989.4,2391.84,2750.0,2320.0,-1239.4,-71.84,250.36,150.0,0.0,Z_FREE,no,YES,no
P19+Ref,ELOPAR,3990.12,2241.84,2750.0,2480.0,-1240.12,238.16,251.82,150.0,0.0,Z_FREE,no,YES,no
poutre,OBSTACLE,2953.57,1166.34,2953.57,1166.34,0.0,0.0,95.17,95.17,0.0,Z_A,YES,no,no
P34,BT722,3316.72,694.84,3280.0,2780.0,-36.72,2085.16,145.0,158.0,0.0,Z_FREE,no,YES,no
P10,HANKE,2814.65,688.34,2220.0,2140.0,-594.65,1451.66,158.0,145.0,0.0,Z_FREE,no,YES,no
P08,MECAL,2621.88,688.34,2230.0,1910.0,-391.88,1221.66,170.0,145.0,0.0,Z_FREE,no,YES,no
P07,MECAL,2426.58,688.34,2750.0,2860.0,323.42,2171.66,180.0,145.0,0.0,Z_FREE,no,YES,no
P35,BT722,3310.22,892.6,3280.0,1860.0,-30.22,967.4,158.0,155.0,0.0,Z_FREE,no,YES,no
PRESSE_03,IGNORE,3043.57,893.92,3043.57,893.92,0.0,0.0,120.0,137.68,0.0,Z_A,YES,no,no
P12,HANKE,2813.65,887.08,2220.0,2370.0,-593.65,1482.92,160.0,160.0,0.0,Z_FREE,no,YES,no
P04,MECAL,2626.88,887.22,3030.0,1860.0,403.12,972.78,160.0,160.0,0.0,Z_FREE,no,YES,no
PC-A,IGNORE,2434.77,871.46,2434.77,871.46,0.0,0.0,70.0,120.14,0.0,Z_A,YES,no,no
P05,MECAL,2219.22,879.01,3030.0,2090.0,810.78,1210.99,160.0,160.0,0.0,Z_FREE,no,YES,no
P37,BT752,3296.72,1113.34,3280.0,2090.0,-16.72,976.66,185.0,145.0,0.0,Z_FREE,no,YES,no
P01,SEAL,3073.57,1110.27,3000.0,2800.0,-73.57,1689.73,180.0,151.13,0.0,Z_FREE,no,YES,no
P13,HANKE,2813.65,1113.34,2510.0,2850.0,-303.65,1736.66,160.0,145.0,0.0,Z_FREE,no,YES,no
P09,MECAL,2626.88,1112.97,2470.0,1910.0,-156.88,797.03,160.0,145.0,0.0,Z_FREE,no,YES,no
